Models,Accuracy,Precision,Recall,F1
SVM,0.7464±0.0585,0.7504±0.0596,0.7464±0.0585,0.7457±0.0585
Decision Tree,0.7167±0.0673,0.7212±0.0673,0.7167±0.0673,0.7144±0.0700
KNN,0.8083±0.0590,0.8227±0.0592,0.8083±0.0590,0.8054±0.0587
Naive Bayes,0.6762±0.0712,0.7073±0.0683,0.6762±0.0712,0.6719±0.0727
"3WN(0.5,0.85)",1.0000±0.0000,1.0000±0.0000,0.2917±0.0563,0.4486±0.0683
"3WN(1,0.82)",0.9722±0.0380,0.9754±0.0328,0.3976±0.0574,0.5625±0.0572
"3WN(2,0.85)",0.9434±0.0378,0.9509±0.0336,0.4548±0.0726,0.6121±0.0682
"3WN(3,0.8)",0.8843±0.0758,0.9032±0.0617,0.4357±0.0686,0.5848±0.0657
"3WQ(0.3,0.7)",1.0000±0.0000,1.0000±0.0000,0.2012±0.0688,0.3295±0.0952
"3WQ(0.4,0.8)",1.0000±0.0000,1.0000±0.0000,0.2405±0.0764,0.3816±0.0995
"3WQ(0.5,0.85)",1.0000±0.0000,1.0000±0.0000,0.2571±0.0672,0.4048±0.0810